GW191129_134029-v1,1259070047,10.7,6.7,790,0.06,0.16
GW191204_110529-v1,1259492748,27.3,19.3,1800,0.05,0.34
GW191204_171526-v1,1259514944,11.9,8.2,650,0.16,0.13
GW191215_223052-v1,1260484270,24.9,18.1,1930,-0.04,0.35
GW191216_213338-v1,1260567236,12.1,7.7,340,0.11,0.07
GW191219_163120-v1,1260808298,31.1,1.17,550,0,0.11
GW191222_033537-v1,1261020955,45.1,34.7,3000,-0.04,0.51
GW191230_180458-v1,1261764316,49.4,37,4300,-0.05,0.69
GW200112_155838-v1,1262879936,35.6,28.3,1250,0.06,0.24
GW200115_042309-v2,1263097408,5.9,1.44,290,-0.15,0.06
GW200128_022011-v1,1264213230,42.2,32.6,3400,0.12,0.56
GW200129_065458-v1,1264316116,34.5,28.9,900,0.11,0.18
GW200202_154313-v1,1264693412,10.1,7.3,410,0.04,0.09
GW200208_130117-v1,1265202096,37.8,27.4,2230,-0.07,0.4
GW200208_222617-v1,1265235996,51,12.3,4100,0.45,0.66
GW200209_085452-v1,1265273710,35.6,27.1,3400,-0.12,0.57
GW200210_092254-v1,1265361793,24.1,2.83,940,0.02,0.19
GW200216_220804-v1,1265926103,51,30,3800,0.1,0.63
GW200219_094415-v1,1266140673,37.5,27.9,3400,-0.08,0.57
GW200220_061928-v1,1266214787,87,61,6000,0.06,0.9
GW200220_124850-v1,1266238148,38.9,27.9,4000,-0.07,0.66
GW200224_222234-v1,1266618172,40,32.5,1710,0.1,0.32
GW200225_060421-v1,1266645879,19.3,14,1150,-0.12,0.22
GW200302_015811-v1,1267149510,37.8,20,1480,0.01,0.28
GW200306_093714-v1,1267522652,28.3,14.8,2100,0.32,0.38
GW200308_173609-v1,1267724188,36.4,13.8,5400,0.65,0.83
GW200311_115853-v1,1267963151,34.2,27.7,1170,-0.02,0.23
GW200316_215756-v1,1268431094,13.1,7.8,1120,0.13,0.22
GW200322_091133-v1,1268903511,34,14,3600,0.24,0.6
